# ra 5.30091384730315553e+01 dec -2.74389488088151232e+01 rotSkyPos 2.56750753181930804e+02 MJD(TAI) 5.95801395550000016e+04
# id xmm ymm xpup ypup ra_obs dec_obs
1 -2.83210971529994822e+02 -1.82645300961787825e+02 -2.74338687892943800e-02 -1.76923485502615552e-02 5.23143916206461910e+01 -2.56755266712752963e+01
2 -2.83213862510738920e+02 -1.75645301558771394e+02 -2.74347439208875374e-02 -1.70146469048252993e-02 5.23562644091812075e+01 -2.56845607108801666e+01
3 -2.83216753491483075e+02 -1.68645302155754962e+02 -2.74355958692942652e-02 -1.63369020305483247e-02 5.23981468335107365e+01 -2.56935848717972064e+01
4 -2.83219644472227174e+02 -1.61645302752738530e+02 -2.74364246250985606e-02 -1.56591156423531407e-02 5.24400387474161391e+01 -2.57025991140333261e+01
5 -2.90210970933011254e+02 -1.82648191942531923e+02 -2.81109628367690254e-02 -1.76920139145419694e-02 5.23245022386474048e+01 -2.56378547274789312e+01
6 -2.90213861913755352e+02 -1.75648192539515492e+02 -2.81118525400791235e-02 -1.70143357558491803e-02 5.23663606655685498e+01 -2.56468841485601544e+01
7 -2.90216752894499507e+02 -1.68648193136499060e+02 -2.81127184918371978e-02 -1.63366143770718487e-02 5.24082287021005087e+01 -2.56559037428495458e+01
8 -2.90219643875243605e+02 -1.61648193733482657e+02 -2.81135606824159563e-02 -1.56588514927774418e-02 5.24501062021440916e+01 -2.56649134704115518e+01
9 -2.97210970336027685e+02 -1.82651082923276050e+02 -2.87879855712964323e-02 -1.76916643885387179e-02 5.23346059511601283e+01 -2.56001876877977210e+01
10 -2.97213861316771784e+02 -1.75651083520259618e+02 -2.87888898368442621e-02 -1.70140102846600624e-02 5.23764499890110073e+01 -2.56092124855220327e+01
11 -2.97216752297515939e+02 -1.68651084117243187e+02 -2.87897697828336033e-02 -1.63363129696687572e-02 5.24183036103093229e+01 -2.56182275083389293e+01
12 -2.97219643278260037e+02 -1.61651084714226755e+02 -2.87906253994261070e-02 -1.56585741577687128e-02 5.24601666690758890e+01 -2.56272327163705071e+01
13 -3.04210969739044117e+02 -1.82653973904020148e+02 -2.94649352990191439e-02 -1.76912999810865945e-02 5.23447027398636706e+01 -2.55625256819616844e+01
14 -3.04213860719788215e+02 -1.75653974501003717e+02 -2.94658541171094607e-02 -1.70136704997293706e-02 5.23865323612700209e+01 -2.55715458515331839e+01
15 -3.04216751700532313e+02 -1.68653975097987285e+02 -2.94667480480023079e-02 -1.63359978164468421e-02 5.24283715399809580e+01 -2.55805562980693573e+01
16 -3.04219642681276468e+02 -1.61653975694970882e+02 -2.94676170816486338e-02 -1.56582836450708737e-02 5.24702201301378182e+01 -2.55895569817500466e+01
17 -2.83204169438127337e+02 -1.40326826520099331e+02 -2.74364567335201211e-02 -1.35946829879283540e-02 5.25676425418682456e+01 -2.57301212010211131e+01
18 -2.83204932408808361e+02 -1.33326826561679638e+02 -2.74369856603654295e-02 -1.29167461788213464e-02 5.26095683542370907e+01 -2.57391063887892209e+01
19 -2.83205695379489327e+02 -1.26326826603259946e+02 -2.74374913480013548e-02 -1.22387765094304594e-02 5.26515029245213171e+01 -2.57480814603983887e+01
20 -2.83206458350170351e+02 -1.19326826644840239e+02 -2.74379737896573994e-02 -1.15607757003757215e-02 5.26934461054283716e+01 -2.57570463765705107e+01
21 -2.90204169396547059e+02 -1.40327589490780326e+02 -2.81136306454082066e-02 -1.35942844257123368e-02 5.25776787046416700e+01 -2.56924248419132546e+01
22 -2.90204932367228025e+02 -1.33327589532360633e+02 -2.81141707190973311e-02 -1.29163711419462285e-02 5.26195900038643529e+01 -2.57014057212573839e+01
23 -2.90205695337909049e+02 -1.26327589573940941e+02 -2.81146869840648468e-02 -1.22384250046756963e-02 5.26615100355216441e+01 -2.57103765366641746e+01
24 -2.90206458308590015e+02 -1.19327589615521248e+02 -2.81151794333803634e-02 -1.15604477341635058e-02 5.27034386524438645e+01 -2.57193372489077738e+01
