SourceID Photons AvgX AvgY
2865 27386 3289.221135 699.021690
2866 27567 3289.223419 1398.980810
2867 27670 3289.229671 2098.763751
2868 27772 3289.235921 2798.369833
2869 27940 2589.608089 699.015497
2870 27968 2589.601008 1398.982873
2871 28122 2589.600562 2098.784297
2872 27989 2589.599093 2798.366037
2873 28337 1889.939725 699.013763
2874 28320 1889.934852 1398.985452
2875 28331 1889.934948 2098.806008
2876 28139 1889.931057 2798.363623
2877 28456 1190.000351 699.013249
2878 28221 1190.000567 1398.986464
2879 28537 1190.000350 2098.838946
2880 28136 1189.999076 2798.357798
