# ra 0.00000000000000000e+00 dec -8.52729075788638369e+01 rotSkyPos 1.18434959915902198e+02 MJD(TAI) 5.97253712509999968e+04
# id xmm ymm xpup ypup ra_obs dec_obs
1 -2.81048762141461395e+02 -1.64058194206199431e+02 -2.72262275513084594e-02 -1.58929208336683787e-02 2.21763771152644509e+01 -8.59092980779829958e+01
2 -3.11899346701341187e+02 -1.52508232594307060e+02 -3.02110102602656354e-02 -1.47721623286804285e-02 2.35050278363755822e+01 -8.60663986850065328e+01
3 -3.03732650025176667e+02 -1.70940220275047807e+02 -2.94197347639005118e-02 -1.65573768264879496e-02 2.38946705123047209e+01 -8.59579122942321590e+01
4 -3.04586366447666023e+02 -1.60652316908715875e+02 -2.95031644519072773e-02 -1.55612734102862482e-02 2.34478890004862919e+01 -8.60058262629074193e+01
5 -2.93496730883186160e+02 -1.56974458495554956e+02 -2.84309076495423869e-02 -1.52060512544527262e-02 2.25797591380770015e+01 -8.59834048281426959e+01
6 -3.10583295993023683e+02 -1.67278811693725288e+02 -3.00825197150838622e-02 -1.62023142120473994e-02 2.41461786581763000e+01 -8.59971795716024729e+01
7 -2.83585038099563405e+02 -1.86515430198926992e+02 -2.74697135680105793e-02 -1.80669808178666493e-02 2.34093192975076576e+01 -8.58210569849605918e+01
8 -2.86790535026748330e+02 -1.71965603120853018e+02 -2.77810312367174662e-02 -1.66580873789848073e-02 2.29077767384058220e+01 -8.58953153646972538e+01
9 -2.99635942856485258e+02 -1.58325759455830507e+02 -2.90245888935941714e-02 -1.53364113652832441e-02 2.30253095979518889e+01 -8.59989011322350905e+01
10 -2.85252323092885433e+02 -1.77691950652912169e+02 -2.76317582278072030e-02 -1.72126241295146795e-02 2.30907260501968992e+01 -8.58651711716417196e+01
11 -3.05106278893998649e+02 -1.83971509256864266e+02 -2.95513892826018663e-02 -1.78187538672260511e-02 2.45969224411443221e+01 -8.59050966196760442e+01
12 -2.79541017854569191e+02 -1.53030430685508634e+02 -2.70811848152342216e-02 -1.48251780992841170e-02 2.15355063029982539e+01 -8.59509861426162161e+01
13 -3.04143096620733218e+02 -1.85638886274782038e+02 -2.94580917450293911e-02 -1.79802448389841836e-02 2.46151575122276647e+01 -8.58944969727821928e+01
14 -3.01828404254660654e+02 -1.82442011102448674e+02 -2.92345520504173929e-02 -1.76710024456719281e-02 2.43231934763393518e+01 -8.59008763948572636e+01
15 -2.91514933183309950e+02 -1.59389977758799375e+02 -2.82390283095125330e-02 -1.54400944234063860e-02 2.25785039209803742e+01 -8.59660740948826430e+01
16 -2.91256662216497716e+02 -1.57447408017858208e+02 -2.82141966771021456e-02 -1.52520189660546642e-02 2.24661888436691406e+01 -8.59735353071170465e+01
17 -2.82933567919479060e+02 -1.67001985878977166e+02 -2.74083321874220055e-02 -1.61778114155504416e-02 2.24340895665581819e+01 -8.59032845834594383e+01
18 -3.10286858438535603e+02 -1.71057640839240548e+02 -3.00535228146858319e-02 -1.65681677189264617e-02 2.43091574025687827e+01 -8.59795286734718189e+01
19 -3.13454013406300248e+02 -1.85524035838932235e+02 -3.03584116189216484e-02 -1.79682339492057454e-02 2.51883186340015435e+01 -8.59258800884739884e+01
20 -2.88727770594087417e+02 -1.84312998090109033e+02 -2.79673542413004517e-02 -1.78533117831228549e-02 2.36138463561521910e+01 -8.58482743300164657e+01
21 -3.01544438619530638e+02 -1.83663125071280632e+02 -2.92069779973248150e-02 -1.77892349049257950e-02 2.43629560751790386e+01 -8.58945334525134854e+01
