SourceID Photons AvgX AvgY
67608906497028 3 1178.666667 0.000000
61894856109060 34356 2580.829025 656.029282
61892301443076 34202 197.084469 2320.180253
67603117494276 34644 1783.931965 2956.858302
61894840414212 34145 1040.112081 1266.052541
61894771404804 35266 3770.639539 3814.381699
61918847661060 0 -nan -nan
61894765294596 34974 2127.098588 4068.493424
61894870965252 33586 516.521229 127.972786
61894795246596 34981 2836.108487 2936.275492
67603117733892 34548 2841.021680 2184.976757
61850005864452 34638 1512.150933 3435.294850
61894790454276 34387 230.746648 3147.860819
61894826157060 34375 908.898560 1810.438720
