SourceID Photons AvgX AvgY
4001 37796 2719.739761 2107.608662
4002 38493 2700.664614 781.414309
4003 39207 295.366210 643.601194
4004 36515 3067.160153 2874.222101
4005 38258 1042.920043 3085.907209
4006 38695 1164.218917 1856.229590
4007 38637 2062.021171 1803.944121
4008 38187 3343.596171 1627.604630
4009 35951 2081.868488 3653.986370
4010 37474 3506.145114 2217.950045
4011 38461 1497.777957 619.756013
4012 38925 581.819473 1499.923905
4013 38335 942.978818 2043.991783
4014 37708 1588.863530 3367.543121
4015 38582 1549.868436 1640.028200
4016 38883 1678.548775 436.970604
4017 34712 3576.941807 3003.003572
4018 38222 3515.057742 1395.755324
4019 39150 1653.879438 708.027075
4020 38481 1518.644786 2505.751202
4021 38175 1142.209194 2418.921519
4022 37760 999.986043 3226.848729
4023 38160 2259.713732 1551.188941
4024 38201 763.605063 1854.526007
4025 38597 2724.480892 1260.825530
